Time differences read from the graphs.

vCurrent [A]	 td [10^-5s] 	 e_td [10^-5s]
0.000		0.5		0.14142135623731
0.005		0.35		0.0424264068711929
0.010		0.41		0.0424264068711929
0.015		0.44		0.0424264068711929
0.020		0.49		0.0424264068711929
0.025		0.51		0.0424264068711929
0.030		0.58		0.0424264068711929
0.035		0.6		0.0424264068711929
0.040		0.75		0.0424264068711929
0.045		0.800000000000001		0.0565685424949238
0.050		0.93		0.0282842712474619
0.055		0.925		0.0353553390593274
0.060		1.18		0.0424264068711928
0.065		1.29		0.0565685424949238
0.070		1.7		0.0848528137423857
0.075		6.45		0.0848528137423857
0.080		5.2		0.183847763108502
0.083		8.2		0.254558441227157
0.090		5.9		0.636396103067893
